County,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,lethality,population,Beds_Count,Income,Temperature,obesitypercent,Senior_People_Percentage,Vaccination,Smoker_Percentage,HSpct,BCpct,,
Alachua,83415.00,733.00,31004.34,0.88,0.01,269043.00,1742.00,50089.00,69.00,57.3 ,14.0,0.694,11.4 ,86.60,44.08,,
Baker,9940.00,146.00,34029.44,1.47,0.01,29210.00,1163.00,62299.00,67.82,70.7 ,14.2,0.390,29.7 ,85.7,14.36,,
Bay,53174.00,850.00,30436.45,1.60,0.02,174705.00,737.00,56483.00,66.71,66.3 ,17.1,0.520,22.1 ,90.2,24.48,,
Bradford,8669.00,167.00,30740.04,1.93,0.02,28201.00,5.00,43580.00,68.33,66.2 ,17.8,0.483,27.1 ,85.0,10.28,,
Brevard,164771.00,2307.00,27373.24,1.40,0.01,601942.00,1905.00,59359.00,72.24,67.4 ,23.7,0.69,16.3 ,90.60,30.91,,
Broward,729189.00,6307.00,37341.11,0.86,0.01,1952778.00,6674.00,60922.00,75.00,65.0 ,16.6,0.744,12.6 ,89.10,33.12,,
Calhoun,4640.00,102.00,32896.14,2.20,0.02,14105.00,25.00,38037.00,66.67,70.2 ,18.0,0.344,20.2 ,93.1,9.06,,
Charlotte,44741.00,891.00,23683.76,1.99,0.02,188910.00,715.00,52724.00,72.93,66.9 ,40.2,0.714,15.4 ,90.9,23.83,,
Citrus,36388.00,1050.00,24314.27,2.89,0.03,149657.00,332.00,45689.00,70.19,67.5 ,36.3,0.599,19.8 ,88.1,18.90,,
Clay,63114.00,913.00,28786.05,1.45,0.01,219252.00,572.00,68657.00,68.28,68.9 ,15.8,0.584,22.2 ,92.7,26.15,,
Collier,99489.00,1085.00,25847.88,1.09,0.01,384902.00,1075.00,70217.00,73.95,63.9 ,32.2,0.760,11.7 ,92.6,35.88,,
Columbia,24305.00,428.00,33904.81,1.76,0.02,71686.00,103.00,44818.00,68.00,73.4 ,18.9,0.444,23.9 ,95.6,14.90,,
DeSoto,10733.00,159.00,28243.99,1.48,0.01,38001.00,49.00,53975.00,72.70,71.3 ,22.2,0.504,18.3 ,82.0,12.16,,
Dixie,4691.00,78.00,27879.47,1.66,0.02,16826.00,0.00,36360.00,68.43,69.9 ,23.6,0.359,29.5 ,84.0,9.54,,
Duval,300514.00,3630.00,31376.92,1.21,0.01,957755.00,3949.00,41674.00,68.47,68.5 ,14.0,0.645,16.4 ,89.6,30.69,,
Escambia,93478.00,1400.00,29366.42,1.50,0.01,318316.00,1669.00,56769.00,66.64,67.9 ,16.8,0.58,16.6 ,87.0,27.20,,
Flagler,27054.00,392.00,23508.66,1.45,0.01,115081.00,99.00,53023.00,70.35,64.4 ,30.7,0.697,20.0 ,91.1,25.60,,
Franklin,3427.00,55.00,28263.92,1.60,0.02,12125.00,25.00,57536.00,67.50,69.2 ,24.0,0.507,24.2 ,74.4,20.43,,
Gadsden,16407.00,224.00,35932.98,1.37,0.01,45660.00,953.00,48814.00,66.94,72.7 ,17.9,0.587,15.1 ,82.7,18.17,,
Gilchrist,5335.00,106.00,28710.58,1.99,0.02,18582.00,0.00,41135.00,68.63,77.7 ,20.5,0.393,19.3 ,86.7,12.27,,
Glades,2218.00,37.00,16059.66,1.67,0.02,13811.00,0.00,47381.00,72.65,78.5 ,27.3,0.357,15.3 ,78.5,11.46,,
Gulf,4806.00,83.00,35237.19,1.73,0.02,13639.00,19.00,39709.00,67.20,68.1 ,21.6,0.454,24.0 ,86.5,23.19,,
Hamilton,4340.00,56.00,30080.40,1.29,0.01,14428.00,0.00,50640.00,67.50,73.6 ,18.0,0.361,20.2 ,83.8,8.19,,
Hardee,9867.00,132.00,36629.91,1.34,0.01,26937.00,25.00,38300.00,72.58,71.7 ,16.6,0.432,20.7 ,88.3,9.12,,
